sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.testResult,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.sample,BASIN,LOCATION,RIVMILE,SMPL_RMRK,SAMPLE_DATE,SAMPLE_TIME,sample_date_text
554845-LCS2-NA-7252017-WQ,SM 2340 C,7/25/2017 11:00,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS2,NA,100,mL,NA,NA,NA,NA,100,mL,HARD,HARDNESS (AS CACO3),20.5,NA,SC,Yes,Y,,NA,,NA,0.07,NA,2,mg/l,mg/l,NA,0.07,NA,NA,NA,NA,,NA,20,20.5,103,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/25/2017 11:00,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/25/2017,11:00,7252017
554845-MB2-NA-7252017-WQ,SM 2340 C,7/25/2017 11:00,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB2,NA,100,mL,NA,NA,NA,NA,100,mL,HARD,HARDNESS (AS CACO3),NA,NA,TRG,Yes,N,U,NA,U,NA,0.07,0.07,2,mg/l,mg/l,NA,0.07,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/25/2017 11:00,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/25/2017,11:00,7252017
554918-LCS2-NA-7212017-WQ,E353.2,7/21/2017 13:32,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS2,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",0.254,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.01,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,0.25,0.254,102,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/21/2017 13:32,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/21/2017,13:32,7212017
554918-MB2-NA-7212017-WQ,E353.2,7/21/2017 13:31,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB2,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.002,0.002,0.01,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/21/2017 13:31,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/21/2017,13:31,7212017
555124-LCS2-NA-7262017-WQ,SM2540C,7/26/2017 14:50,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS2,NA,50,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",894,NA,SC,Yes,Y,,NA,,NA,8,NA,20,mg/l,mg/l,NA,8,NA,NA,NA,NA,,NA,914,894,98,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/26/2017 14:50,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/26/2017,14:50,7262017
555124-MB2-NA-7262017-WQ,SM2540C,7/26/2017 14:50,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB2,NA,100,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",NA,NA,TRG,Yes,N,U,NA,U,NA,4,4,10,mg/l,mg/l,NA,4,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/26/2017 14:50,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/26/2017,14:50,7262017
555125-DLCS1-NA-7262017-WQ,SM2540C,7/26/2017 14:50,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-DLCS5,NA,50,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",892,NA,SC,Yes,Y,,NA,,NA,8,NA,20,mg/l,mg/l,NA,8,NA,NA,NA,NA,,NA,NA,892,98,NA,914,892,98,<1,70,130,20,,,,R1706637,ALSRNY,Duplicate Lab Control Sample,WQ,BD,Lab,555125-LCS1,R1706637,7/26/2017 14:50,Duplicate Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/26/2017,14:50,7262017
555125-LCS1-NA-7262017-WQ,SM2540C,7/26/2017 14:50,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS5,NA,50,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",890,NA,SC,Yes,Y,,NA,,NA,8,NA,20,mg/l,mg/l,NA,8,NA,NA,NA,NA,,NA,914,890,97,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/26/2017 14:50,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/26/2017,14:50,7262017
555125-MB3-NA-7262017-WQ,SM2540C,7/26/2017 14:50,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-MB3,NA,100,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",NA,NA,TRG,Yes,N,U,NA,U,NA,4,4,10,mg/l,mg/l,NA,4,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,R1706637,ALSRNY,Method Blank,WQ,LB,Lab,,R1706637,7/26/2017 14:50,Method Blank,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/26/2017,14:50,7262017
555295-LCS3-NA-7272017-WQ,SM2540C,7/27/2017 15:50,TRUE,NA,initial,WQ,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1706637-LCS3,NA,50,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",912,NA,SC,Yes,Y,,NA,,NA,8,NA,20,mg/l,mg/l,NA,8,NA,NA,NA,NA,,NA,914,912,100,NA,NA,NA,NA,,70,130,NA,,,,R1706637,ALSRNY,Lab Control Sample,WQ,BS,Lab,,R1706637,7/27/2017 15:50,Lab Control Sample,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,,,,,7/27/2017,15:50,7272017
