event_id,location,rivmile,station,order,method,basin,date,year,richness,rich_score,ept_rich,ept_score,hbi,hbi_score,pma,pma_score,nbi_p,nbi_p_score,shannon,shannon_score,bap,mean_bap,median_bap
0.2_maso_13_8/27/2018_3,maso,0.2,maso-0.2,,kick,13,2018-08-27,2018,23,6.47,11,8,4.93,6.96,66,7.69,6.71,3.23,,,6.47,5.6025,5.595
0.2_maso_13_8/27/2018_4,maso,0.2,maso-0.2,,kick,13,2018-08-27,2018,22,6.18,9,6.82,4.89,7.01,71,8.17,7.01,2.48,,,6.13,5.6025,5.595
0.4_gunk_13_8/27/2018_1,gunk,0.4,gunk-0.4,,kick,13,2018-08-27,2018,26,7.35,16,10,3.76,8.24,68,7.88,5.66,5.85,,,7.86,7.8725,7.885
0.4_gunk_13_8/27/2018_2,gunk,0.4,gunk-0.4,,kick,13,2018-08-27,2018,25,7.06,15,10,3.8,8.2,72,8.27,5.86,5.35,,,7.78,7.8725,7.885
0.4_gunk_13_8/27/2018_3,gunk,0.4,gunk-0.4,,kick,13,2018-08-27,2018,26,7.35,15,10,3.79,8.21,77,8.75,5.85,5.38,,,7.94,7.8725,7.885
0.4_gunk_13_8/27/2018_4,gunk,0.4,gunk-0.4,,kick,13,2018-08-27,2018,23,6.47,13,9,3.57,8.43,70,8.08,4.93,7.57,,,7.91,7.8725,7.885
0.4_monh_13_8/27/2018_1,monh,0.4,monh-0.4,,kick,13,2018-08-27,2018,17,4.56,7,5.91,5.15,6.69,59,6.61,6.43,3.93,,,5.54,5.35,5.24
0.4_monh_13_8/27/2018_2,monh,0.4,monh-0.4,,kick,13,2018-08-27,2018,12,3.09,5,4.72,5.16,6.67,55,5.97,6.3,4.25,,,4.94,5.35,5.24
0.4_monh_13_8/27/2018_3,monh,0.4,monh-0.4,,kick,13,2018-08-27,2018,17,4.56,7,5.91,5.17,6.66,85,9.52,6.65,3.37,,,6,5.35,5.24
0.4_monh_13_8/27/2018_4,monh,0.4,monh-0.4,,kick,13,2018-08-27,2018,14,3.68,5,4.72,4.96,6.92,57,6.29,6.8,3,,,4.92,5.35,5.24
0.4_pkil_13_8/27/2018_1,pkil,0.4,pkil-0.4,,kick,13,2018-08-27,2018,24,6.76,12,8.5,3.58,8.42,74,8.46,5.77,5.58,,,7.54,6.95,7.025
0.4_pkil_13_8/27/2018_2,pkil,0.4,pkil-0.4,,kick,13,2018-08-27,2018,21,5.88,11,8,3.52,8.48,72,8.27,5.32,6.7,,,7.47,6.95,7.025
0.4_pkil_13_8/27/2018_3,pkil,0.4,pkil-0.4,,kick,13,2018-08-27,2018,16,4.26,10,7.27,4.13,7.87,60,6.77,6.04,4.9,,,6.21,6.95,7.025
0.4_pkil_13_8/27/2018_4,pkil,0.4,pkil-0.4,,kick,13,2018-08-27,2018,19,5.29,9,6.82,3.62,8.38,65,7.6,6.08,4.8,,,6.58,6.95,7.025
0.5_tinw_13_8/27/2018_1,tinw,0.5,tinw-0.5,,kick,13,2018-08-27,2018,15,3.97,3,3.61,6.1,5.5,50,5.16,7.68,0.8,,,3.81,3.3575,3.51
0.5_tinw_13_8/27/2018_2,tinw,0.5,tinw-0.5,,kick,13,2018-08-27,2018,12,3.09,0,0,6.31,5.24,31,1.9,7.98,0.05,,,2.06,3.3575,3.51
0.5_tinw_13_8/27/2018_3,tinw,0.5,tinw-0.5,,kick,13,2018-08-27,2018,15,3.97,2,3.06,6.1,5.5,34,2.41,7.56,1.1,,,3.21,3.3575,3.51
0.5_tinw_13_8/27/2018_4,tinw,0.5,tinw-0.5,,kick,13,2018-08-27,2018,20,5.59,3,3.61,5.81,5.86,51,5.32,7.46,1.35,,,4.35,3.3575,3.51
0.6_wchee_13_8/28/2018_1,wchee,0.6,wchee-0.6,,kick,13,2018-08-28,2018,11,2.79,0,0,6.02,5.6,33,2.24,8.16,0,,,2.13,3.2075,3.135
0.6_wchee_13_8/28/2018_2,wchee,0.6,wchee-0.6,,kick,13,2018-08-28,2018,16,4.26,2,3.06,5.54,6.2,41,3.63,7.35,1.63,,,3.76,3.2075,3.135
0.6_wchee_13_8/28/2018_3,wchee,0.6,wchee-0.6,,kick,13,2018-08-28,2018,24,6.76,3,3.61,5.73,5.96,45,4.27,7.38,1.55,,,4.43,3.2075,3.135
0.6_wchee_13_8/28/2018_4,wchee,0.6,wchee-0.6,,kick,13,2018-08-28,2018,11,2.79,1,1.25,6.2,5.38,35,2.66,7.82,0.45,,,2.51,3.2075,3.135
1.5_rutg_13_8/28/2018_1,rutg,1.5,rutg-1.5,,kick,13,2018-08-28,2018,18,4.85,9,6.82,3.83,8.17,71,8.17,5.72,5.7,,,6.74,6.1025,6.05
1.5_rutg_13_8/28/2018_2,rutg,1.5,rutg-1.5,,kick,13,2018-08-28,2018,20,5.59,10,7.27,4.22,7.78,58,6.45,6.09,4.78,,,6.37,6.1025,6.05
1.5_rutg_13_8/28/2018_3,rutg,1.5,rutg-1.5,,kick,13,2018-08-28,2018,16,4.26,9,6.82,4.01,7.99,46,4.44,6.27,4.33,,,5.57,6.1025,6.05
1.5_rutg_13_8/28/2018_4,rutg,1.5,rutg-1.5,,kick,13,2018-08-28,2018,16,4.26,8,6.36,3.99,8.01,60,6.77,6.69,3.27,,,5.73,6.1025,6.05
1.7_swak_13_8/27/2018_1,swak,1.7,swak-1.7,,kick,13,2018-08-27,2018,19,5.29,9,6.82,3.32,8.68,76,8.65,6.34,4.15,,,6.72,6.5825,6.585
1.7_swak_13_8/27/2018_2,swak,1.7,swak-1.7,,kick,13,2018-08-27,2018,23,6.47,12,8.5,3.88,8.12,54,5.81,6.47,3.83,,,6.55,6.5825,6.585
1.7_swak_13_8/27/2018_3,swak,1.7,swak-1.7,,kick,13,2018-08-27,2018,19,5.29,9,6.82,3.9,8.1,45,4.27,3.88,8.62,,,6.62,6.5825,6.585
1.7_swak_13_8/27/2018_4,swak,1.7,swak-1.7,,kick,13,2018-08-27,2018,19,5.29,9,6.82,3.68,8.32,63,7.26,6.19,4.52,,,6.44,6.5825,6.585
1.8_poch_13_8/28/2018_1,poch,1.8,poch-1.8,,kick,13,2018-08-28,2018,20,5.59,7,5.91,4.85,7.06,45,4.27,6.48,3.8,,,5.33,5.5,5.355
1.8_poch_13_8/28/2018_2,poch,1.8,poch-1.8,,kick,13,2018-08-28,2018,21,5.88,8,6.36,5.26,6.55,70,8.08,6.37,4.07,,,6.19,5.5,5.355
1.8_poch_13_8/28/2018_3,poch,1.8,poch-1.8,,kick,13,2018-08-28,2018,21,5.88,8,6.36,5.65,6.06,54,5.81,6.88,2.8,,,5.38,5.5,5.355
1.8_poch_13_8/28/2018_4,poch,1.8,poch-1.8,,kick,13,2018-08-28,2018,20,5.59,8,6.36,5.82,5.85,56,6.13,7.37,1.57,,,5.1,5.5,5.355
19.0_walk_13_8/27/2018_1,walk,19,walk-19.0,,kick,13,2018-08-27,2018,17,4.56,5,4.72,5.34,6.45,71,8.17,6.57,3.57,,,5.49,5.6325,5.6
19.0_walk_13_8/27/2018_2,walk,19,walk-19.0,,kick,13,2018-08-27,2018,17,4.56,6,5.45,5.11,6.74,68,7.88,6.44,3.9,,,5.71,5.6325,5.6
