"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.testResult","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.sample","BASIN","LOCATION","RIVMILE","SMPL_RMRK","SAMPLE_DATE","SAMPLE_TIME","sample_date_text"
"13-MONH-0.4-7192017-WS","E200.8","7/25/2017 17:30","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-005",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-38-2","Arsenic",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.389,0.389,1,"ug/l","ug/l",NA,0.389,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","E200.8","7/25/2017 17:30","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-005",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-43-9","Cadmium",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.182,0.182,1,"ug/l","ug/l",NA,0.182,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","E200.8","7/25/2017 17:30","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-005",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-50-8","Copper",2.7,NA,"TRG","Yes","Y","",NA,"",NA,0.652,NA,1,"ug/l","ug/l",NA,0.652,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","E200.8","7/25/2017 17:30","TRUE",NA,"initial","WS","LB",NA,NA,1,"CLP-METALS ILM05.3","7/24/2017 0:00",NA,NA,"ALSRNY","quant","R1706637-005",NA,50,"mL",NA,NA,NA,NA,50,"mL","7440-66-6","Zinc",3.1,NA,"TRG","Yes","Y","J",NA,"J",NA,3,NA,5,"ug/l","ug/l",NA,3,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","E300.0","8/1/2017 2:01","TRUE",NA,"initial","WS","LB",NA,NA,40,"","",NA,NA,"ALSRNY","quant","R1706637-005",NA,10,"mL",NA,NA,NA,NA,10,"mL","16887-00-6","CHLORIDE (AS CL)",202,NA,"TRG","Yes","Y","",NA,"",NA,0.5,NA,8,"mg/l","mg/l",NA,0.5,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","E353.2","7/20/2017 14:27","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-005",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.002,0.002,0.01,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","E353.2","8/2/2017 12:52","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-005",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.321,NA,"TRG","Yes","Y","",NA,"",NA,0.0025,NA,0.0025,"mg/l","mg/l",NA,0.0025,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","E365.1","7/26/2017 20:29","TRUE",NA,"initial","WS","LB",NA,NA,1,"METHOD","7/24/2017 14:06",NA,NA,"ALSRNY","quant","R1706637-005",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0733,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.003,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","SM 2320 B","7/29/2017 17:43","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-005",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",139,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
"13-MONH-0.4-7192017-WS","SM 2340 C","7/25/2017 11:00","TRUE",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1706637-005",NA,15,"mL",NA,NA,NA,NA,100,"mL","HARD","HARDNESS (AS CACO3)",233,NA,"TRG","Yes","Y","",NA,"",NA,0.5,NA,13,"mg/l","mg/l",NA,0.5,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1706637","ALSRNY","13MONH-0.4_07192017_WS","WS","N","Field","","R1706637","7/19/2017 14:50","13MONH-0.4_07192017_WS",NA,NA,NA,NA,NA,"7/20/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,13,"MONH",0.4,"07192017_WS","7/19/2017","14:50",7192017
